### Footprint positions - created on 2025-12-01T13:51:32+0900 ###
### Printed by KiCad version 9.0.6
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val           Package                                                PosX       PosY       Rot  Side
R18       470           R_0402_1005Metric                                    2.6400    -5.5951    0.0000  top
R19       3.3K          R_0402_1005Metric                                    1.6557    -5.7919    0.0000  top
R20       1.5K          R_0402_1005Metric                                    1.8526    -5.7919    0.0000  top
R21       1K            R_0402_1005Metric                                    2.0494    -5.7919    0.0000  top
R24       10K           R_0402_1005Metric                                    5.0839   -13.3579    0.0000  top
SW1       BTN0          SW_SPST_TL3342                                       2.6547    -1.5169    0.0000  top
SW2       BTN1          SW_SPST_TL3342                                       3.0484    -1.5169    0.0000  top
U1        USB3320       QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm                  8.9634    -1.8311    0.0000  top
U2        USB5744       QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                  9.5539    -1.4374    0.0000  top
U3        TPD4S012      UQFN-10_1.4x1.8mm_P0.4mm                             9.5539    -2.0280    0.0000  top
U4        TPD4S012      UQFN-10_1.4x1.8mm_P0.4mm                             9.5539    -2.6185    0.0000  top
U5        TPD4S012      UQFN-10_1.4x1.8mm_P0.4mm                             9.1602    -1.4374    0.0000  top
U6        TPD4S012      UQFN-10_1.4x1.8mm_P0.4mm                             9.1602    -2.0280    0.0000  top
U7        TPS2041B      SOT-23-5                                             9.1602    -2.6185    0.0000  top
U8        TPS2041B      SOT-23-5                                             9.9476    -1.4374    0.0000  top
U9        TPS2041B      SOT-23-5                                             8.1103    -2.5071    0.0000  top
U10       TPS2041B      SOT-23-5                                             8.7009    -2.5071    0.0000  top
U11       RTL8211F-CG   QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                 12.1417    -6.0921    0.0000  top
U12       RTL8211F-CG   QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                 10.9606    -6.5646    0.0000  top
U13       SN65HVD230    SOIC-8_3.9x4.9mm_P1.27mm                             4.2844    -1.5530    0.0000  top
U14       SN65HVD230    SOIC-8_3.9x4.9mm_P1.27mm                             4.8750    -1.5530    0.0000  top
U15       MAX485        SOIC-8_3.9x4.9mm_P1.27mm                             3.6939    -2.0254    0.0000  top
U16       MAX485        SOIC-8_3.9x4.9mm_P1.27mm                             4.2844    -2.0254    0.0000  top
U17       CP2102N       QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm                4.8750    -2.0254    0.0000  top
U26       LM2596S-ADJ   TO-263-5_TabPin3                                     1.1911    -5.7459    0.0000  top
U27       LM2596S-ADJ   TO-263-5_TabPin3                                     1.3880    -7.1238    0.0000  top
U28       LM2596S-5     TO-263-5_TabPin3                                     1.9785    -7.1238    0.0000  top
U41       IT66121FN     LQFP-64_10x10mm_P0.5mm                               4.8177   -14.2575    0.0000  top
U42       TXB0108       TSSOP-20_4.4x6.5mm_P0.65mm                           4.8177   -14.8480    0.0000  top
U43       IT6801FN      LQFP-64_10x10mm_P0.5mm                               5.4083   -14.2575    0.0000  top
U44       TPD12S016     QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm                  5.4083   -14.8480    0.0000  top
U45       TPD12S016     QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm                  5.4083   -14.7693    0.0000  top
Y1        25MHz         Crystal_SMD_3215-2Pin_3.2x1.5mm                     12.9291    -6.6827    0.0000  top
Y2        25MHz         Crystal_SMD_3215-2Pin_3.2x1.5mm                     12.9291    -7.0764    0.0000  top
Y9        27MHz         Crystal_SMD_3215-2Pin_3.2x1.5mm                      5.0146   -14.5331    0.0000  top
Y10       27MHz         Crystal_SMD_3215-2Pin_3.2x1.5mm                      5.0146   -15.1630    0.0000  top
## End
